male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Canada agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2116,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,United States,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from United States.,Emily: A 25-year-old female sales assistant from the Netherlands.,Emily is preparing to move into a new home and is planning to host a housewarming party. One of her neighbors have heavy drinkers . Mike and Kim will attend Emily’s housewarming party.,Discuss what gift to buy for Emily to bring to the housewarming party.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from United States would not like to have heavy drinkers as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have heavy drinkers as a neighbor.,Decide appropriate gift to bring to Emily’s housewarming party.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,1
2117,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",China,Kazakhstan,Luis,Emi,Jane,A 27-year-old male software developer from Mexico,Emi: A 28-year-old female System Analyst from Kazakhstan.,Jane: A 30-year-old female project manager from China.,"In a multinational software company, Maria is planning a farewell party for her colleague Jane, who's leaving the company. Invited to the party are colleagues from different cultural backgrounds including Luis and Emi.",Discuss about what farewell gift to buy for Jane,Discuss whether it’s acceptable to have a drug addict as a neighbor.,Do not give umbrellas to people from China. These symbolize separation.,People from Kazakhstan would not like to have drug addicts as neighbors.,Suggest bringing umbrellas as a get-well-soon gift,Question whether would like to have a former drug addict as a neighbor.,Choose an appropriate gift that shows care and consideration,Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,2
2118,118,12,CORRUPTION,Malaysia,Canada,Jack,Bob,Sarah,Jack is a 30-year-old male accountant from Malaysia.,Bob is a 28-year-old male engineer from Canada.,Sarah is a  27-year-old female architect from Malaysia,Sarah has been in a car accident and is in the hospital. Bob and Jack plan to visit Sarah and want to bring her a get well gift.,Discuss what kind of gift to bring Sarah in the hospital.,Discuss hiring a lawyer to handle the aftermath of Sarah's accident.,Do not use yellow wrapping paper for gifts in Malaysia. This colour is usually reserved for royalty and should be avoided.,"People from Canada strongly agree that they never have to pay a bribe to local officials and service providers, like police officers, lawyers, doctors, teachers, and civil servants.",Discuss wrap the gift in yellow,Question the possibility of paying a bribe to lawyers for better service.,Discuss what kind of gift to bring Sarah in the hospital.,Discuss the possibility of paying a bribe to lawyers for better service.,0,1,1,2
2119,184,123,ETHICAL VALUES AND NORMS,Spain,China,Melissa,Elaine,Zachary,"Melissa, a 24-year-old Spanish-Indonesian mix, pursuing her Masters degree.","Elaine, a 29-year-old anthropologist from China.","Zachary, a 32-year-old technologist from Spain.","Zachary unexpectedly finds herself expecting a child with her fiancé, and they accelerate their wedding plans.",Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss  get married due to pregnancy.,Do not give white lilies to people from Spain. These are usually given at funerals.,People from China strongly agree that abortion is not justifiable.,Discuss bring  white lilies as a gift,Question whether it is reasonable to get abortion,Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss whether it is reasonable to get abortion,1,2,1,2
2120,28,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Germany,Jack,Ray,Victoria,Jack is a 27-year-old male software engineer from Thailand.,Ray is a 30-year-old father from Germany who works in a non-profit organization.,Victoria is a hardworking single mother from Thailand.,"Victoria, a single working mother, is trying to organize a surprise party for her son's birthday which she thinks would help in bonding with her child.",Discuss what type of gift and what color to wrap it in for the birthday party for Victoria's son.,Discuss the impact of a mother working for pay on her children.,Do not wrap gifts in green for people from Thailand. These colours are typically associated with death and mourning.,"People from Germany strongly disagree that when a mother works for pay, the children suffer.",Discuss wrap the gift in green for the party.,Question whether that a mother works for pay and the children suffer.,decide on what type of gift and what color to wrap it in for the birthday party for Victoria's son.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
2121,37,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Peru,Bangladesh,Jason,Adam,Ben,Jason: A 32-year-old electrician from the Philippines.,Adam: A 26-year-old baker originally from Bangladesh.,Ben: A 30-year-old architect from Peru.,Weekend Gathering for Ben's Son's First Birthday,Make a decision on a special gift to bring for Ben's son's first birthday party.,Discuss the necessity of having children,"Avoid giving sharp objects like scissors as gifts to people from Peru, as it might imply a desire to sever the relationship.",People from Bangladesh strongly agree that it is a duty towards society to have children.,Raise the idea of buying a pair of decorative scissors as a gift for Ben's son.,Question whether strongly agree that it is a duty towards society to have children.,Make a decision on a special gift to bring for Ben's son's first birthday party.,Discuss the necessity of having children,0,1,1,2
2122,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,Netherlands,John,Emma,,John is a 28-year-old software engineer from Canada.,Emma is a 30-year-old project manager from the Netherlands.,,"A project deadline is approaching, and all tasks must be completed before the end of the year. It is currently December 15th.",Discuss the schedule for completing the project tasks.,Discuss the possibility of working on December 25th to meet the deadline,People from the Netherlands celebrate Christmas Day on December 25th.,People from Netherlands place great importance on Leisure time.,Discuss the possibility of working on December 24th-25th to complete the tasks.,Suggest working on December 25th to finish the task,Discuss the schedule for completing the tasks,Discuss working on December 25th to finish the task.,0,1,0,1
2123,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Andorra,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Andorra.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Andorra agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
2124,184,123,ETHICAL VALUES AND NORMS,Spain,Indonesia,Liam,Mark,Jenna,Liam is a 27-year-old male Software Engineer from Indonesia.,Mark is a 23-year-old female and a Master's student from Indonesia.,Jenna  is a 26-year-old Spanish male and a teacher in a primary school.,"Jenna is unexpectedly expecting a child and is considering her options, including marriage. Her friends gather to discuss potential gifts for a baby shower.",Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss Jenna's options considering the pregnancy,"Be aware that flowers are not common gifts in Spain, as they cannot be easily shared.",People from Indonesia strongly agree that abortion is not justifiable.,Suggest giving Jenna a bunch of roses.,Question whether it is reasonable to get abortion,Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss whether it is reasonable to get abortion,0,1,0,0
2125,169,12,RELIGIOUS VALUES,Poland,Andorra,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from Andorra.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from Andorra strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,1,1,1,2
